,host_id,host_location,host_acceptance_rate,bathrooms,amenities,review_scores_value
364,5695022,"Barcelona, Spain",0%,2.0,"[""Bed linens"", ""Oven"", ""Conditioner"", ""Self check-in"", ""Dishwasher"", ""Hot water"", ""Room-darkening shades"", ""Smart lock"", ""Body soap"", ""Coffee maker: Nespresso"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Waterfront"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Toaster"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""City skyline view"", ""Hot water kettle"", ""Elevator"", ""Iron"", ""Outdoor furniture"", ""Private patio or balcony"", ""Pets allowed"", ""Cleaning products"", ""Shared beach access"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""Park view"", ""Free dryer \u2013 In unit"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Air conditioning""]",4.43
365,5636973,"Barcelona, Spain",100%,1.5,"[""Bed linens"", ""Oven"", ""Central heating"", ""Baby bath"", ""Hot water"", ""Paid parking garage off premises"", ""Room-darkening shades"", ""TV with standard cable"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Board games"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Bidet"", ""Kitchen"", ""Stove"", ""Exterior security cameras on property"", ""Toaster"", ""Bathtub"", ""Luggage dropoff allowed"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Portable fans"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Sanex  body soap"", ""Host greets you"", ""Iron"", ""Cleaning products"", ""Coffee maker"", ""Patio or balcony"", ""Shower gel"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Refrigerator"", ""Blender"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.67
366,4419532,"Barcelona, Spain",66%,2.0,"[""Dishwasher"", ""Babysitter recommendations"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Extra pillows and blankets"", ""Heating"", ""Paid parking off premises"", ""Kitchen"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Bed linens"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""TV"", ""High chair"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Bathtub"", ""Hot water"", ""Single level home"", ""Cooking basics"", ""Wifi""]",4.75
367,5721224,"Montesson, France",86%,1.0,"[""Refrigerator"", ""Essentials"", ""Heating"", ""Keypad"", ""Hangers"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Self check-in"", ""Iron"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Dryer"", ""Stove"", ""Crib"", ""Dishes and silverware"", ""Air conditioning"", ""High chair"", ""TV"", ""Kitchen"", ""Microwave""]",4.62
368,3744544,"Barcelona, Spain",98%,1.0,"[""Bed linens"", ""Ceiling fan"", ""Oven"", ""Hot water"", ""Room-darkening shades"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Cooking basics"", ""Wifi"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Paid crib - available upon request"", ""Window AC unit"", ""Kitchen"", ""Long term stays allowed"", ""Induction stove"", ""Toaster"", ""City skyline view"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Paid standalone high chair - available upon request"", ""Private backyard \u2013 Not fully fenced"", ""Host greets you"", ""Iron"", ""Outdoor dining area"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Coffee maker"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""42 inch HDTV with standard cable"", ""Dishes and silverware"", ""Refrigerator"", ""Paid parking off premises"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.46
369,5748709,"Barcelona, Spain",95%,4.0,"[""Bed linens"", ""Oven"", ""Dishwasher"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Body soap"", ""Cooking basics"", ""Children\u2019s dinnerware"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Free dryer"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Bidet"", ""Kitchen"", ""Stove"", ""Bathtub"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Extra pillows and blankets"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Free street parking"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Coffee maker"", ""Single level home"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Wifi \u2013 31 Mbps"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Air conditioning""]",4.89
370,4460420,"Barcelona, Spain",93%,1.0,"[""Hair dryer"", ""Hot water"", ""Beach access \u2013 Beachfront"", ""Elevator"", ""Air conditioning"", ""Heating"", ""Wifi"", ""Dedicated workspace"", ""Pocket wifi"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Waterfront"", ""First aid kit""]",4.57
371,4488448,"Barcelona, Spain",83%,,"[""Bed linens"", ""AC - split type ductless system"", ""Private living room"", ""Stainless steel oven"", ""Hot water"", ""Paid parking garage off premises"", ""Books and reading material"", ""Body soap"", ""Cooking basics"", ""Courtyard view"", ""Electric stove"", ""Shampoo"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Toaster"", ""Wine glasses"", ""Portable fans"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Iron"", ""Private patio or balcony"", ""Ethernet connection"", ""Clothing storage: closet and wardrobe"", ""Cleaning products"", ""Shared beach access"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""32 inch TV"", ""Fast wifi \u2013 394 Mbps"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Freezer"", ""Essentials""]",4.67
372,582060,"Barcelona, Spain",97%,2.0,"[""Bed linens"", ""Central heating"", ""Self check-in"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Keypad"", ""Dryer"", ""Extra pillows and blankets"", ""Elevator"", ""Crib"", ""Iron"", ""TV"", ""Essentials"", ""Air conditioning""]",4.5
373,5764841,"Barcelona, Spain",100%,1.0,"[""Host greets you"", ""Paid parking off premises"", ""Long term stays allowed"", ""Pets allowed"", ""Single level home"", ""Bed linens"", ""Cleaning products"", ""Children\u2019s books and toys"", ""Clothing storage: walk-in closet"", ""Dining table"", ""Refrigerator"", ""Essentials"", ""Toaster"", ""Heating"", ""City skyline view"", ""Hangers"", ""Dishwasher"", ""Oven"", ""Free dryer \u2013 In unit"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Wifi"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Hair dryer"", ""Stove"", ""Crib"", ""Baking sheet"", ""Dishes and silverware"", ""Cleaning available during stay"", ""Ethernet connection"", ""High chair"", ""Private patio or balcony"", ""Board games"", ""Pack \u2019n play/Travel crib"", ""Drying rack for clothing"", ""Room-darkening shades"", ""TV"", ""Books and reading material"", ""Kitchen"", ""Hot water kettle"", ""Microwave""]",4.64
374,5472538,"Barcelona, Spain",91%,1.0,"[""Bed linens"", ""Oven"", ""AC - split type ductless system"", ""Hot water"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Dryer"", ""Extra pillows and blankets"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher""]",4.82
375,5840515,"Barcelona, Spain",,1.5,"[""Bed linens"", ""Ceiling fan"", ""Stainless steel oven"", ""Barbecue utensils"", ""Private BBQ grill: charcoal"", ""Hot water"", ""Movie theater"", ""High chair"", ""Books and reading material"", ""Coffee maker: Nespresso"", ""Cooking basics"", ""Sound system"", ""Wifi"", ""Washer"", ""Shampoo"", ""Board games"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Housekeeping available 1 day a week - available at extra cost"", ""Arcade games"", ""Dining table"", ""Wine glasses"", ""City skyline view"", ""Gas stove"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Patio or balcony"", ""Refrigerator"", ""TV"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.67
376,5843487,"Barcelona, Spain",100%,1.5,"[""Exterior security cameras on property"", ""Long term stays allowed"", ""Pets allowed"", ""Lockbox"", ""Paid parking on premises"", ""Refrigerator"", ""Elevator"", ""Luggage dropoff allowed"", ""Heating"", ""City skyline view"", ""Hangers"", ""HDTV with Amazon Prime Video, Fire TV"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Self check-in"", ""Iron"", ""Wifi"", ""Free washer \u2013 In unit"", ""AC - split type ductless system"", ""Hair dryer"", ""Stove"", ""Dishes and silverware"", ""Pack \u2019n play/Travel crib"", ""Kitchen""]",4.45
377,5843487,"Barcelona, Spain",100%,1.0,"[""Oven"", ""Lockbox"", ""Self check-in"", ""Fast wifi \u2013 73 Mbps"", ""Hot water"", ""Paid parking on premises"", ""Cooking basics"", ""Washer"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Exterior security cameras on property"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Elevator"", ""Iron"", ""Smoke alarm"", ""Pets allowed"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Carbon monoxide alarm""]",4.25
378,5873242,"Barcelona, Spain",100%,2.0,"[""Bed linens"", ""Oven"", ""Conditioner"", ""AC - split type ductless system"", ""Private entrance"", ""Hot water"", ""Room-darkening shades"", ""TV with standard cable"", ""Body soap"", ""Fast wifi \u2013 104 Mbps"", ""Clothing storage: closet and dresser"", ""Cooking basics"", ""Paid parking on premises"", ""Beach access \u2013 Beachfront"", ""Courtyard view"", ""Electric stove"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Kitchen"", ""Toaster"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Portable fans"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Paid parking lot off premises"", ""Host greets you"", ""Iron"", ""Free street parking"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Coffee maker"", ""Shower gel"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.73
379,5878688,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Oven"", ""Coffee"", ""Dishwasher"", ""Hot water"", ""Room-darkening shades"", ""Body soap"", ""Crib - available upon request"", ""Coffee maker: Nespresso"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Clothing storage"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Exterior security cameras on property"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Safe"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Shower gel"", ""Single level home"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Freezer"", ""Essentials"", ""Air conditioning"", ""High chair - available upon request""]",4.48
380,1369675,"Barcelona, Spain",85%,1.0,"[""Bed linens"", ""Oven"", ""Hot water"", ""Room-darkening shades"", ""Central air conditioning"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Courtyard view"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Extra pillows and blankets"", ""28 inch HDTV with standard cable"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Coffee maker"", ""Free washer \u2013 In building"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Dishwasher""]",3.85
381,826476,"Barcelona, Spain",100%,1.0,"[""Dishwasher"", ""Hangers"", ""Dedicated workspace"", ""Outdoor dining area"", ""Elevator"", ""Long term stays allowed"", ""Garden view"", ""Drying rack for clothing"", ""Body soap"", ""Park view"", ""Trash compactor"", ""Extra pillows and blankets"", ""Wine glasses"", ""Room-darkening shades"", ""40 inch HDTV"", ""Hot water kettle"", ""Outdoor furniture"", ""Private patio or balcony"", ""Kitchen"", ""Heating - split type ductless system"", ""Iron"", ""Bed linens"", ""Paid parking garage off premises"", ""Cleaning products"", ""Shampoo"", ""Toaster"", ""Dishes and silverware"", ""Dining table"", ""Self check-in"", ""Bosch refrigerator"", ""Cleaning available during stay"", ""Sun loungers"", ""Essentials"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Bosch double oven"", ""Bosch induction stove"", ""Hair dryer"", ""Outdoor shower"", ""Smoke alarm"", ""AC - split type ductless system"", ""Smart lock"", ""Free washer \u2013 In unit"", ""Clothing storage: closet"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Coffee maker: Nespresso"", ""Wifi"", ""Mountain view""]",4.67
382,4258344,"Barcelona, Spain",95%,1.0,"[""Exterior security cameras on property"", ""Clothing storage: closet"", ""Long term stays allowed"", ""Noise decibel monitors on property"", ""Portable fans"", ""Freezer"", ""Sound system"", ""Ocean view"", ""Single level home"", ""Bed linens"", ""Cleaning products"", ""Dining table"", ""Refrigerator"", ""Elevator"", ""Essentials"", ""Toaster"", ""City skyline view"", ""Outdoor furniture"", ""Hangers"", ""Dishwasher"", ""Microwave"", ""Fast wifi \u2013 388 Mbps"", ""Hot water"", ""Outdoor dining area"", ""Cooking basics"", ""Self check-in"", ""Iron"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Extra pillows and blankets"", ""Central heating"", ""Coffee maker: Nespresso"", ""AC - split type ductless system"", ""Hair dryer"", ""Stove"", ""Crib"", ""Laundromat nearby"", ""HDTV with Netflix"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""High chair"", ""Paid parking garage off premises"", ""Private patio or balcony"", ""Pack \u2019n play/Travel crib"", ""Drying rack for clothing"", ""Room-darkening shades"", ""Books and reading material"", ""Kitchen"", ""Hot water kettle"", ""Smart lock"", ""Smoke alarm"", ""Stainless steel oven""]",4.71
383,2366949,"Barcelona, Spain",95%,1.0,"[""Dedicated workspace"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Coffee maker"", ""Heating"", ""Paid parking off premises"", ""Host greets you"", ""Fire extinguisher"", ""Kitchen"", ""Paid parking on premises"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Shampoo"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""TV"", ""High chair"", ""Essentials"", ""Microwave"", ""Patio or balcony"", ""Hair dryer"", ""Hot water"", ""Cooking basics"", ""Wifi""]",4.47
384,4626127,"Barcelona, Spain",100%,3.0,"[""Oven"", ""AC - split type ductless system"", ""Portable air conditioning"", ""Private entrance"", ""Hot water"", ""High chair"", ""TV with standard cable"", ""Body soap"", ""Cooking basics"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Bidet"", ""Kitchen"", ""Stove"", ""Bathtub"", ""Free parking on premises"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Portable fans"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Pets allowed"", ""Cleaning products"", ""Coffee maker"", ""Shower gel"", ""Laundromat nearby"", ""Dishes and silverware"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.68
385,4638971,"Barcelona, Spain",96%,1.0,"[""Bed linens"", ""Oven"", ""Conditioner"", ""AC - split type ductless system"", ""Central heating"", ""Standalone high chair - available upon request"", ""Coffee"", ""Self check-in"", ""32 inch HDTV with Chromecast, standard cable"", ""Babysitter recommendations"", ""Table corner guards"", ""Hot water"", ""Paid parking garage off premises"", ""Room-darkening shades"", ""Smart lock"", ""Books and reading material"", ""Body soap"", ""Free carport on premises \u2013 1 space"", ""Crib - available upon request"", ""Coffee maker: Nespresso"", ""Cooking basics"", ""Children\u2019s dinnerware"", ""Courtyard view"", ""Shampoo"", ""Board games"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Cleaning available during stay"", ""Long term stays allowed"", ""Kitchen"", ""Baking sheet"", ""Stove"", ""Exterior security cameras on property"", ""Toaster"", ""Arcade games"", ""Dining table"", ""Wine glasses"", ""Portable fans"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Outlet covers"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Outdoor dining area"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Clothing storage: closet and wardrobe"", ""Cleaning products"", ""Shower gel"", ""Heating - split type ductless system"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Freezer"", ""Essentials"", ""Fast wifi \u2013 425 Mbps"", ""Dishwasher""]",4.73
386,4653599,"Barcelona, Spain",84%,1.0,"[""Bed linens"", ""Coffee"", ""Clothing storage: walk-in closet"", ""Hot water"", ""Room-darkening shades"", ""X body soap"", ""Central air conditioning"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stainless steel induction stove"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""42 inch HDTV"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Host greets you"", ""Safe"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Coffee maker"", ""Shower gel"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Blender"", ""Carbon monoxide alarm"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.53
387,5841645,"Barcelona, Spain",100%,2.0,"[""Bed linens"", ""Oven"", ""Hot water"", ""TV with standard cable"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Waterfront"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Elevator"", ""Crib"", ""Host greets you"", ""Air conditioning"", ""Iron"", ""Private patio or balcony"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Dishwasher""]",4.79
388,5888954,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Hot water"", ""Room-darkening shades"", ""Children\u2019s dinnerware"", ""Wifi"", ""Lock on bedroom door"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Dining table"", ""Portable fans"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Window guards"", ""Host greets you"", ""Iron"", ""Clothing storage: closet and wardrobe"", ""Coffee maker"", ""Laundromat nearby"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""Heating"", ""Freezer"", ""Essentials"", ""Mini fridge""]",4.28
389,805226,"Barcelona, Spain",100%,2.0,"[""Bed linens"", ""Ceiling fan"", ""Smoking allowed"", ""Indoor fireplace: electric"", ""Oven"", ""AC - split type ductless system"", ""Coffee"", ""Hot water"", ""Room-darkening shades"", ""Private backyard \u2013 Fully fenced"", ""Books and reading material"", ""Body soap"", ""Central air conditioning"", ""Coffee maker: Nespresso"", ""Cooking basics"", ""Courtyard view"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Noise decibel monitors on property"", ""55 inch HDTV with standard cable, Disney+, Netflix, HBO Max, premium cable"", ""Hangers"", ""First aid kit"", ""Clothing storage"", ""Hair dryer"", ""Fast wifi \u2013 960 Mbps"", ""Rice maker"", ""Bidet"", ""Kitchen"", ""Baking sheet"", ""Exterior security cameras on property"", ""Toaster"", ""Bathtub"", ""Luggage dropoff allowed"", ""Dining table"", ""Wine glasses"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Host greets you"", ""Safe"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Outdoor dining area"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Pets allowed"", ""Ethernet connection"", ""Cleaning products"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Blender"", ""Carbon monoxide alarm"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher"", ""High chair - available upon request""]",4.79
390,5159312,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Oven"", ""Coffee"", ""Sun loungers"", ""Dishwasher"", ""Private entrance"", ""Beach essentials"", ""Hot water"", ""Room-darkening shades"", ""Books and reading material"", ""TV with standard cable"", ""Private pool - available seasonally"", ""Clothing storage: closet and dresser"", ""Cooking basics"", ""Washer"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Toaster"", ""Luggage dropoff allowed"", ""Dining table"", ""Bay view"", ""Wine glasses"", ""Dryer"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Host greets you"", ""Safe"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Outdoor dining area"", ""Private patio or balcony"", ""Free street parking"", ""Cleaning products"", ""Coffee maker"", ""Fast wifi \u2013 78 Mbps"", ""Single level home"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Heating"", ""Freezer"", ""Essentials"", ""Air conditioning"", ""Moussel Legrain body soap""]",4.97
391,5907347,,83%,1.0,"[""Bed linens"", ""Smoking allowed"", ""Oven"", ""Conditioner"", ""Theme room"", ""Beach essentials"", ""Hot water"", ""Room-darkening shades"", ""Paid street parking off premises"", ""TV with standard cable"", ""Body soap"", ""Books and reading material"", ""Ocean view"", ""Cooking basics"", ""Coffee maker: pour-over coffee"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Washer"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Waterfront"", ""Long term stays allowed"", ""Kitchen"", ""Baking sheet"", ""Cleaning available during stay"", ""Stove"", ""Toaster"", ""Beach view"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Portable fans"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Safe"", ""Sea view"", ""Iron"", ""Outdoor furniture"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Free street parking"", ""Pets allowed"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Patio or balcony"", ""Shower gel"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""Harbor view"", ""Blender"", ""Heating"", ""Freezer"", ""Essentials""]",4.17
392,3533078,"Barcelona, Spain",100%,2.0,"[""Bed linens"", ""Oven"", ""Self check-in"", ""Smart lock"", ""TV with standard cable"", ""Central air conditioning"", ""Wifi"", ""Washer"", ""Microwave"", ""Hair dryer"", ""Kitchen"", ""Toaster"", ""Bathtub"", ""Dining table"", ""Hot water kettle"", ""Crib"", ""Iron"", ""Patio or balcony"", ""Refrigerator"", ""Heating"", ""Freezer""]",4.47
393,5919250,"Barcelona, Spain",82%,1.0,"[""TV with standard cable"", ""Courtyard view"", ""Clothing storage: closet and dresser"", ""Dishwasher"", ""Babysitter recommendations"", ""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Outdoor dining area"", ""Exterior security cameras on property"", ""Conditioner"", ""Coffee"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Beach access \u2013 Beachfront"", ""Extra pillows and blankets"", ""Wine glasses"", ""Room-darkening shades"", ""Hot water kettle"", ""Outdoor furniture"", ""Fire extinguisher"", ""Private patio or balcony"", ""Kitchen"", ""Baking sheet"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Shampoo"", ""Paid parking garage off premises"", ""Toaster"", ""Crib"", ""Dishes and silverware"", ""Dining table"", ""Self check-in"", ""High chair"", ""Central heating"", ""Sun loungers"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Portable fans"", ""Hair dryer"", ""Smoke alarm"", ""Waterfront"", ""Noise decibel monitors on property"", ""Bathtub"", ""Propia body soap"", ""Induction stove"", ""Free washer \u2013 In unit"", ""Smart lock"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Freezer"", ""Coffee maker: Nespresso"", ""Outdoor kitchen with sink"", ""Wifi"", ""Bosch stainless steel oven"", ""First aid kit""]",4.66
394,2110700,"Barcelona, Spain",100%,1.0,"[""Dishwasher"", ""Babysitter recommendations"", ""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Stove"", ""Window guards"", ""Long term stays allowed"", ""Coffee maker"", ""Ethernet connection"", ""Heating"", ""Room-darkening shades"", ""HDTV"", ""Kitchen"", ""Window AC unit"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Carbon monoxide alarm"", ""Shampoo"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Self check-in"", ""High chair"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Smoke alarm"", ""Smart lock"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""First aid kit""]",4.48
